order,unique,drill,wetWeight ,fruitingBodies ,wetWeightExcess,drilledWeight ,volMass ,volMassRetained ,insectDamage ,dryMass,notes
14,ACPA41,yes,277.71,hyphae at end,,276.97,307.64,14.19,,189.44,
26,cali2g,yes,9.31,,,9.1,12.9,1.55,,6.62,
29,excu2i,yes,6.03,,4.06,5.72,13.27,3.6,,4.25,"falling apart, 3 pieces"
38,BAAE38,yes,211.89,hyphae,,211.03,329.42,42.92,,122.3,
48,eusc3i,yes,4.28,hyphae,,4.02,8.72,1.36,,3.58,springtails
49,BAAE211,yes,132.81,,,132.15,214.32,28.76,,72.43,
64,MEDE112,yes,138.69,,,138.22,205.58,51.12,,78.28,
66,PELI12,yes,358.26,,,357.27,456,52.21,,233.53,
68,peli2i,yes,7.41,,,6.68,11.56,3.38,,5.72,
69,cota1a,yes,1.76,,,1.59,3.5,1.26,,0.64,falling apart
70,mede1a,yes,2.89,,,2.78,4.99,1.38,,1.33,
75,acpa4b,yes,11.77,hyphae,,11.47,15.06,1.33,,10.06,
76,basp2j,yes,8.48,hyphae,,8.21,13.74,4.7,,4.05,
87,cali3l,yes,15.41,hyphae,,15.19,20.92,2.43,,9.44,
88,eute1k,yes,1.81,,,1.65,3.04,1.71,,1.41,
107,PEPU210,yes,213.15,,,212.09,286.33-2.72,28.11,,116.72,
112,lepa3i,yes,17.58,,,17.09,22.21,9.04,,13.63,
115,LEPA23,yes,79.08,,0.91+.71,78.37,99.06,13.14,,59.23,
119,acel1b,yes,6.09,hyphae,,5.9,8.7,1.39,,5.17,
121,penu3c,yes,1.21,,0.36,1.06,2.72,1.26,falling apart,0.95,falling apart
124,JASC36,yes,201.68,hyphae,2.66,201.06,304.2,3.36,,162.17,
130,pepu1e,yes,13.44,,,13.21,21.94,4.25,,10.1,
133,eusc3c,yes,2.75,hyphae,,2.58,5,1.37,,2.35,
136,excu3g,yes,6.6,hyphae,,6.25,15.37,4.02,,5.6,bite or rot in centre
137,eute1a,yes,4.45,,0.4,4.28,13.36,3.8,,3.85,
143,PELI14,yes,245.39,,12.03,244.51,353.54,31.05,,166.94,
147,anba3a,yes,1.1,,,0.96,1.14,1.25?/maybe 0.25,,0.91,3 pieces
151,lepa3e,yes,3.47,hyphae,0.34,3.31,4.73,1.41,,3,
153,ACPA412,yes,148.43,hyphae,,148,183.47,14.13,,121.92,"springtails, sm spider, sm ants"
